Id|Company Segment|Company size by entitlement production|Company ticker|Company|Headquarter Country|Headquarter Region|NOC Homeland|Private Public Company
2|Unspecific (Other/Open/Relinquished)|No Production|\\N|Open acreage|Open acreage|Other|Not NOC|Private Company
16|Unspecific (Other/Open/Relinquished)|10-30 kboed|\\N|Relinquished|Relinquished|Other|Not NOC|Private Company
103|E&P Company|30-100 kboed|DNX LN|Dana Petroleum|United Kingdom|Western Europe|Not NOC|Public Company
168|E&P Company|10-30 kboed|NOR NO|Noreco|Norway|Western Europe|Not NOC|Public Company
685|NOC|10-30 kboed|\\N|Danish North Sea Fund|Denmark|Western Europe|Denmark|NOC
1084|E&P Company|No Production|\\N|Spyker Energy|Netherlands|Western Europe|Not NOC|Private Company
2770|E&P Company|0-1 kboed|\\N|Danoil Exploration|Denmark|Western Europe|Not NOC|Private Company
8924|E&P Company|10-30 kboed|\\N|Petrogas|Oman|Middle East|Not NOC|Private Company
9703|Unspecific (Other/Open/Relinquished)|1000-3000 kboed |\\N|Refinery Gains|Refinery Gains|Other|Not NOC|Private Company
9704|Unspecific (Other/Open/Relinquished)|3000-10000 kboed|\\N|Other liquids|Other liquids|Other|Not NOC|Private Company
11168|INOC|30-100 kboed|\\N|KNOC/Dana|United Kingdom|Western Europe|United Kingdom|NOC
17824|Independent|30-100 kboed|\\N|Spirit Energy|United Kingdom|Western Europe|Not NOC|Private Company
17835|Independent|100-300 kboed|\\N|Neptune Energy|United Kingdom|Western Europe|Not NOC|Private Company
18340|Independent|300-1000 kboed|\\N|Wintershall Dea|Germany|Western Europe|Not NOC|Private Company
10|Major|1000-3000 kboed |TTE|TotalEnergies|France|Western Europe|Not NOC|Public Company
18247|E&P Company|30-100 kboed|blank|ONE-Dyas|Netherlands|Western Europe|Not NOC|Public Company
12830|Industrial|10-30 kboed|\\N|Ineos Group|United Kingdom|Western Europe|Not NOC|Private Company
